ID,prefLabel,WikiData_URI,Start_Date,End_Date,Type,Suggested_dating,has_Broader,ARS_Group_ID,ARS_Group_2_ID,ARS_Import_Horizon_ID,ARS_Import_Horizon_2_ID
hayes-form-145,Hayes form 145,,,,Two-handled bowl with stemmed foot,first half of third century,,,,,
hayes-form-146,Hayes form 146,,,,Flanged lid,about first half of third century (and possibly later),,,,,
hayes-form-147,Hayes form 147,,,,Pilgrim-flask,,,ARSA,,,
hayes-form-148,Hayes form 148,,,,Patera with saucepan-handle,probably late first to early second century,,,,,
hayes-form-151,Hayes form 151,,,,Jugs ,,,,,,
hayes-form-152,Hayes form 152,,,,Jugs ,,,,,,
hayes-form-153,Hayes form 153,,,,Jugs ,,,,,,
hayes-form-154,Hayes form 154,,,,Jugs ,probably late first century,,,,,
hayes-form-155,Hayes form 155,,,,Jugs ,,,,,,
hayes-form-156,Hayes form 156,,,,Jugs ,,,,,,
hayes-form-157,Hayes form 157,,,,Jugs ,"uncertain, probably early second century",,,,,
hayes-form-158,Hayes form 158,,,,Jugs ,mid-late second century,,ARSA,,,
hayes-form-159,Hayes form 159,,,,Jugs ,,,,,,
hayes-form-160,Hayes form 160,,,,Jugs ,,,,,,
hayes-form-161,Hayes form 161,,,,Two-handled flagon,,,,,,
hayes-form-162,Hayes form 162,,,,Two-handled flagon,late first or early second century,,,,,
hayes-form-163,Hayes form 163,,,,Two-handled flagon,early-mid third century,,,,,
hayes-form-164,Hayes form 164,,,,Two-handled flagon,first half of third century,,,,,
hayes-form-165,Hayes form 165,,,,Two-handled flagon,presumably third century,,,,,
hayes-form-166,Hayes form 166,,,,,,,,,,
hayes-form-167,Hayes form 167,,,,,,,,,,
hayes-form-168,Hayes form 168,,,,,,,,,,
hayes-form-169,Hayes form 169,,,,,,,,,,
hayes-form-170,Hayes form 170,,,,Stemmed goblet,,,,,,
hayes-form-171,Hayes form 171,,,,Small piriform jug,,,,,,
hayes-form-172,Hayes form 172,Q109547592,,,Small two-handled flagon,,,,,,
hayes-form-173,Hayes form 173,,,,Small two-handled flagon,,,,,,
hayes-form-174,Hayes form 174,Q109547596,,,Jug,,,,,,
hayes-form-175,Hayes form 175,,,,Two-handled vase ,,,,,,
hayes-form-176,Hayes form 176,,,,Piriform jug|flagon ,,,,,,
hayes-form-177,Hayes form 177,,,,Flask,,,,,,
hayes-form-178,Hayes form 178,,,,Small flask,,,,,,
hayes-form-179,Hayes form 179,,,,Small flask,c. 200/210-250,,,,,
hayes-form-180,Hayes form 180,,,,Jug with relief decoration,,,,,,
hayes-form-181,Hayes form 181,,,,Dish,second half of second century to first half third century,,,,,
hayes-form-182,Hayes form 182,,150,250,Lid,second half of second to first half of third century ,,,,,
hayes-form-183,Hayes form 183,,,,Deep casserole,,,,,,
hayes-form-184,Hayes form 184,,,,Shallow casserole,,,,,,
hayes-form-185,Hayes form 185,,,,Casserole lid,,,,,,
hayes-form-186,Hayes form 186,,,,,,,,,,
hayes-form-187,Hayes form 187,,,,,,,,,,
hayes-form-188,Hayes form 188,,,,,,,,,,
hayes-form-189,Hayes form 189,,,,,,,,,,
hayes-form-190,Hayes form 190,,,,,,,,,,
hayes-form-191,Hayes form 191,,,,Casserole,,,,,,
hayes-form-192,Hayes form 192,,,,Lid,,,,,,
hayes-form-193,Hayes form 193,,,,Deep casserole,,,,,,
hayes-form-194,Hayes form 194,,,,Casserole,second half of first century A.D. ,,,,,
hayes-form-195,Hayes form 195,,70,250,Lid ,,,,,,
hayes-form-196,Hayes form 196,,70,250,Large lid,probably mid second—mid third century,,,,,
hayes-form-196a,Hayes form 196a,,,,Large lid,probably mid second—mid third century,hayes-form-196,,,,
hayes-form-196b,Hayes form 196b,,,,Large lid,probably mid second—mid third century,hayes-form-196,,,,
hayes-form-197,Hayes form 197,,175,,Casserole ,late second to mid third century,,,,,
hayes-form-198,Hayes form 198,,,,Jar,,,,,,
hayes-form-199,Hayes form 199,,,,Jar,Late second-third century(?),,,,,
hayes-form-200,Hayes form 200,,,,Mug,late second to early third century,,,,,
ARSA,ARSA,,,,,,,,,,
ARSD,ARSD,,,,,,,,,,
ARSC,ARSC,,,,,,,,,,
